trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,cost,finishReason,aiTopic
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/main//pe-artic-variation.ga,dcc2761eb35156d7d09479112daf089439774fc29938f02cb6ee8cda87906758,false,24598,54,0.0062169999999999994,end_turn,"Processes Illumina-sequenced ARTIC data by mapping and variant calling, trimming ARTIC primer sequences, identifying primer-binding site mutations, and excluding reads from affected amplicons to calculate allele-frequencies."
"#workflow/github.com/iwc-workflows/sars-cov-2-variation-reporting/COVID-19-VARIATION-REPORTING",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-variation-reporting/main//variation-reporting.ga,2dce46106d669248d5858b56269c9cbc26057acfdb121f693dd6321d0350105c,false,24506,53,0.00619275,end_turn,"The workflow takes a VCF dataset of variants, filters and extracts the variants, generates tabular lists of variants by Samples and by Variant, and creates an overview plot of variants and their allele-frequencies."
"#workflow/github.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/COVID-19-ARTIC-ONT",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/main//ont-artic-variation.ga,03c9318d50df9a3c2d725da77f9a175ce7eb78e264cc4a40fa17d48a99dd124b,false,20293,46,0.00513075,end_turn,"Performs read mapping with minimap2, variant calling with medaka, primer trimming with ivar, and variant annotation and filtering for ONT-sequenced ARTIC data."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/main//pe-wgs-variation.ga,f2357986dd72af73efb2b8110f0f08f6f715017518498edda61d50d23b2e560f,false,11355,38,0.00288625,end_turn,"Performs paired-end read mapping with bwa-mem, followed by sensitive variant calling across a wide range of AFs with lofreq."
"#workflow/github.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/COVID-19-SE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/main//se-wgs-variation.ga,89993f9570eebd53983cdf4f8e4e0f44631f536e855b2e0741f4a5b907858e8d,false,9524,68,0.002466,end_turn,"Performs single-end read mapping with Bowtie2, followed by deduplication with Picard, realignment with LoFreq, and sensitive variant calling across a wide range of allele frequencies with LoFreq, with final annotation using SnpEff."
"#workflow/github.com/iwc-workflows/sars-cov-2-consensus-from-variation/COVID-19-CONSENSUS-CONSTRUCTION",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-consensus-from-variation/main//consensus-from-variation.ga,cb8acce2a1b0d059b117ae3737307be82e81807dad3efcbfe6c8f6a09cbd2798,false,15398,47,0.00390825,end_turn,"Builds a consensus sequence from FILTER PASS variants with intrasample allele-frequency above a configurable consensus threshold, hard-masks regions with low coverage, and removes ambiguous sites."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/main//pe-wgs-ivar-analysis.ga,11e9e375b01f1a5b33fb64b184798bc6e46181201a255cb23147a7f021007864,false,13897,52,0.0035392500000000003,end_turn,"Trims and maps Illumina SARS-CoV-2 amplicon sequencing data, calls variants, generates a consensus genome, and classifies the samples using Pangolin and Nextclade."
"#workflow/github.com/iwc-workflows/parallel-accession-download/main",main,https://raw.githubusercontent.com/iwc-workflows/parallel-accession-download/main//parallel-accession-download.ga,3e9aee6218674651a981b3437b9ca8ec294ff492984b153db0526989e716e674,false,3632,39,9.5675E-4,end_turn,Downloads fastq files for sequencing run accessions provided in a text file using fasterq-dump and creates one job per listed run accession.
"#workflow/github.com/nf-core/rnaseq",1.4.2,https://raw.githubusercontent.com/nf-core/rnaseq/1.4.2//main.nf,0d0db0adf13e907e33e44b1357486cf57747ad78c3a5e31f187919d844530fe9,false,24814,36,0.0062485,end_turn,"Processes the input read files by trimming, aligning, quantifying, and performing quality control analysis on the RNA-seq data."
"#workflow/github.com/nf-core/vipr",master,https://raw.githubusercontent.com/nf-core/vipr/master//main.nf,a8b50e8afa5730e6ede16e4588cec2f03c3ae881385daed22edb3e8376af5793,false,4737,49,0.0012455,end_turn,"Executes a viral amplicon/enrichment analysis and intrahost variant calling workflow, including preprocessing, decontamination, assembly, polishing, mapping, variant calling, and coverage analysis."
"#workflow/github.com/nf-core/methylseq",1.4,https://raw.githubusercontent.com/nf-core/methylseq/1.4//main.nf,5123fc239af84cd0357ddfe1ca1f582d1f7412f08ecaa9bb2b8f19160bd75cfb,false,16094,48,0.0040835,end_turn,"Runs the nf-core/methylseq pipeline, which performs methylation analysis on sequencing data, including read alignment, deduplication, methylation extraction, and quality control steps."
"#workflow/github.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/GATK_4_1_0_0_data_pre_processing_workflow",master,https://raw.githubusercontent.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/master//broad-best-practice-data-pre-processing-workflow-4-1-0-0_decomposed.cwl,2f87eaf01d47acf0d70b41609d6faba135e11db5ca337f99ae18c614996e387e,false,7685,69,0.0020075,end_turn,"The workflow starts by converting the input alignments to FASTQ format, aligns the reads to the reference genome using BWA MEM, merges the aligned reads, marks duplicates, sorts the reads, and applies base quality score recalibration to produce the final output BAM file."
"#workflow/github.com/DataBiosphere/topmed-workflows/UM_variant_caller_wdl",1.32.0,https://raw.githubusercontent.com/DataBiosphere/topmed-workflows/1.32.0/variant-caller/variant-caller-wdl/topmed_freeze3_calling.wdl,03daf00da2f90efd50368bd392f1c32f93b8f48e968dcc573598c9432df5ba21,false,18182,46,0.004603,end_turn,"Imports the DNA contamination calculation workflow, sets up the TopMed variant caller workflow, creates CRAM index files, calculates DNA contamination, and runs the variant calling process."
