trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,finishReason,aiTopic
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/main//pe-artic-variation.ga,07d68a2bce6118b31018c31a013325cda07030efc92750c036df4ab112849c02,true,16283,50,stop,"The workflow starts by inputting Illumina-sequenced ARTIC data and involves steps such as quality filtering, mapping, variant calling, and filtering mutations using tools like ivar, samtools, lofreq, snpsift, and multiqc."
"#workflow/github.com/iwc-workflows/sars-cov-2-variation-reporting/COVID-19-VARIATION-REPORTING",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-variation-reporting/main//variation-reporting.ga,8dfd7506ef0115145ad8e834e78b2fda3188859e84ebda022742fd4e5e8a8cec,true,16283,24,stop,Create a Galaxy workflow that first filters variants and summarizes their data before generating tabular lists and preparing the data for visualization.
"#workflow/github.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/COVID-19-ARTIC-ONT",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/main//ont-artic-variation.ga,03c9318d50df9a3c2d725da77f9a175ce7eb78e264cc4a40fa17d48a99dd124b,false,16060,26,stop,"Execute a workflow for processing ARTIC ONT data including read filtering, alignment, variant calling, annotation, and final variant examination."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/main//pe-wgs-variation.ga,f2357986dd72af73efb2b8110f0f08f6f715017518498edda61d50d23b2e560f,false,8959,26,stop,Create a workflow that performs paired end read mapping with bwa-mem and sensitive variant calling using lofreq on Illumina reads.
"#workflow/github.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/COVID-19-SE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/main//se-wgs-variation.ga,25158bf9274af827c380a5bf7466b3875eb452c7812dba6c74232085436277c8,false,7742,44,stop,"Perform single end read mapping, quality filtering, mark duplicates, realign reads, insert indel qualities, call variants, filter variants, and annotate variants using SnpEff in the COVID-19 variation analysis Galaxy workflow."
"#workflow/github.com/iwc-workflows/sars-cov-2-consensus-from-variation/COVID-19-CONSENSUS-CONSTRUCTION",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-consensus-from-variation/main//consensus-from-variation.ga,fbf56007ddb6b02c32a61edf35925930d79bf8c68d146357e5507907af923de0,false,11540,24,stop,"Construct a consensus sequence by filtering variants above defined allele-frequencies, masking low-coverage regions, and merging variant outputs."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/main//pe-wgs-ivar-analysis.ga,11e9e375b01f1a5b33fb64b184798bc6e46181201a255cb23147a7f021007864,false,10918,29,stop,"Annotate variants in SARS-CoV-2 Illumina sequencing data, classify using pangolin, and nextclade with the workflow."
"#workflow/github.com/iwc-workflows/parallel-accession-download/main",main,https://raw.githubusercontent.com/iwc-workflows/parallel-accession-download/main//parallel-accession-download.ga,4f7c45346f8bfc02aeaa97c74aa27de3cf9bf04a8494aaf58fb214d37f6e2c2d,false,3151,30,stop,"Download fastq files for sequencing run accessions listed in a text file and process them through fasterq-dump, creating individual jobs for each accession."
"#workflow/github.com/nf-core/rnaseq",1.4.2,https://raw.githubusercontent.com/nf-core/rnaseq/1.4.2//main.nf,0d0db0adf13e907e33e44b1357486cf57747ad78c3a5e31f187919d844530fe9,true,16283,34,stop,Merge the counts/profiles after quantification with Salmon by parsing GTF annotations to get 'tx2gene' relationships and integrating the output into SALMON generated result files.
"#workflow/github.com/nf-core/vipr",master,https://raw.githubusercontent.com/nf-core/vipr/master//main.nf,a8b50e8afa5730e6ede16e4588cec2f03c3ae881385daed22edb3e8376af5793,false,3667,30,stop,Execute the workflow to analyze viral amplicon/enrichment data and intrahost variants by running Nextflow with specified input parameters and configuration profiles.
