trsId,version,descriptorUrl,descriptorChecksum,isTruncated,promptTokens,completionTokens,cost,finishReason,aiTopic
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/main//pe-artic-variation.ga,42be74f66d9a648d1c2c4c99258fcb8a8a79794b977b715214cd13a85253033f,false,19568,30,0.0029531999999999996,stop,"Processes Illumina-sequenced ARTIC data for variant analysis by mapping, trimming, and variant calling with specific filtering."
"#workflow/github.com/iwc-workflows/sars-cov-2-variation-reporting/COVID-19-VARIATION-REPORTING",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-variation-reporting/main//variation-reporting.ga,816ae0bed0563fcb9e5ce24e078f506c8348db5cb23323dda15d82e745664fc4,false,18389,26,0.00277395,stop,Processes VCF variant datasets to generate tabular variant lists and allele frequency plots for COVID-19 analysis.
"#workflow/github.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/COVID-19-ARTIC-ONT",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/main//ont-artic-variation.ga,03c9318d50df9a3c2d725da77f9a175ce7eb78e264cc4a40fa17d48a99dd124b,false,16091,30,0.0024316499999999996,stop,"Processes ONT-sequenced ARTIC data through read filtering, mapping, and variant calling to analyze COVID-19 variations."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/main//pe-wgs-variation.ga,f2357986dd72af73efb2b8110f0f08f6f715017518498edda61d50d23b2e560f,false,8983,27,0.00136365,stop,Performs paired-end read mapping and variant calling for COVID-19 WGS data using multiple bioinformatics tools.
"#workflow/github.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/COVID-19-SE-WGS-ILLUMINA",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-se-illumina-wgs-variant-calling/main//se-wgs-variation.ga,89993f9570eebd53983cdf4f8e4e0f44631f536e855b2e0741f4a5b907858e8d,false,7464,26,0.0011351999999999998,stop,Perform single-end read mapping and variant calling for COVID-19 analysis using bowtie2 and lofreq.
"#workflow/github.com/iwc-workflows/sars-cov-2-consensus-from-variation/COVID-19-CONSENSUS-CONSTRUCTION",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-consensus-from-variation/main//consensus-from-variation.ga,cb8acce2a1b0d059b117ae3737307be82e81807dad3efcbfe6c8f6a09cbd2798,false,12165,25,0.0018397499999999998,stop,Constructs a consensus sequence from filtered variants while masking low coverage and ambiguous sites in the viral genome.
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE",main,https://raw.githubusercontent.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/main//pe-wgs-ivar-analysis.ga,11e9e375b01f1a5b33fb64b184798bc6e46181201a255cb23147a7f021007864,false,10931,32,0.0016588499999999997,stop,"Finds and annotates variants in SARS-CoV-2 sequencing data, classifying samples with pangolin and nextclade tools."
"#workflow/github.com/iwc-workflows/parallel-accession-download/main",main,https://raw.githubusercontent.com/iwc-workflows/parallel-accession-download/main//parallel-accession-download.ga,d7ba2f2e9c884faad42c6b9ae8819ea8da984b78eaacc5960ceb6e4ed38cfbc7,false,2885,28,4.495499999999999E-4,stop,Downloads sequencing fastq files from specified run accessions listed in a text file using fasterq-dump in parallel.
"#workflow/github.com/nf-core/rnaseq",1.4.2,https://raw.githubusercontent.com/nf-core/rnaseq/1.4.2//main.nf,0d0db0adf13e907e33e44b1357486cf57747ad78c3a5e31f187919d844530fe9,false,19554,25,0.0029480999999999995,stop,Launches an RNA-seq analysis pipeline using Nextflow with specified input reads and genome reference parameters.
"#workflow/github.com/nf-core/vipr",master,https://raw.githubusercontent.com/nf-core/vipr/master//main.nf,a8b50e8afa5730e6ede16e4588cec2f03c3ae881385daed22edb3e8376af5793,false,3708,27,5.723999999999999E-4,stop,"Processes genomic data through trimming, decontamination, assembly, mapping, variant calling, and generates coverage reports."
"#workflow/github.com/nf-core/methylseq",1.4,https://raw.githubusercontent.com/nf-core/methylseq/1.4//main.nf,5123fc239af84cd0357ddfe1ca1f582d1f7412f08ecaa9bb2b8f19160bd75cfb,false,12822,25,0.0019382999999999998,stop,Runs the nf-core/methylseq pipeline to analyze methylation data with specified parameters and alignment tools.
"#workflow/github.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/GATK_4_1_0_0_data_pre_processing_workflow",master,https://raw.githubusercontent.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/master//broad-best-practice-data-pre-processing-workflow-4-1-0-0_decomposed.cwl,2f87eaf01d47acf0d70b41609d6faba135e11db5ca337f99ae18c614996e387e,false,6571,24,0.0010000499999999997,stop,Prepares genomic data for variant calling by aligning to a reference genome and performing data cleanup operations.
