trsId,version,isTruncated,promptTokens,completionTokens,finishReason,aiTopic
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA",main,true,8092,49,stop,"This workflow takes Illumina-sequenced ARTIC data, trims ARTIC primer sequences, identifies amplicons affected by ARTIC primer-binding site mutations and excludes tainted amplicons' reads for a variation analysis on ARTIC PE data."
"#workflow/github.com/iwc-workflows/sars-cov-2-variation-reporting/COVID-19-VARIATION-REPORTING",main,true,8092,35,stop,"This workflow takes a VCF dataset of COVID-19 variant sequences, applies filtering based on allele frequency and depth, and reports tabular lists of variants and an overview plot."
"#workflow/github.com/iwc-workflows/sars-cov-2-ont-artic-variant-calling/COVID-19-ARTIC-ONT",main,true,8092,36,stop,"The workflow performs read mapping with minimap2 and variant calling with medaka for ARTIC data, sequenced by Oxford Nanopore Technologies, using ivar for primer trimming."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA",main,true,8092,37,stop,"The workflow maps paired end reads with bwa-mem, performs sensitive variant calling across a wide range of AFs with lofreq, and processes COVID-19 WGS PE data."
"#workflow/github.com/iwc-workflows/sars-cov-2-consensus-from-variation/COVID-19-CONSENSUS-CONSTRUCTION",main,true,8092,35,stop,"The workflow generates a consensus sequence for COVID-19 by building intrasample variants, filtering variants based on allele-frequency, identifying regions with low coverage, and masking ambiguous sites."
"#workflow/github.com/iwc-workflows/sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE",main,true,8092,28,stop,The workflow annotates variants in SARS-CoV-2 Illumina sequencing data and classifies samples using pangolin and nextclade.
"#workflow/github.com/iwc-workflows/parallel-accession-download/main",main,false,3160,29,stop,"The workflow downloads fastq files for provided sequencing run accessions, splits the accessions for parallel processing, and extracts reads in FASTQ format."
"#workflow/github.com/nf-core/rnaseq",1.4.2,false,1571,42,stop,"The workflow is a RNA-Seq analysis pipeline configuration file which includes parameters for pipeline options, decoding, alignment, trimming, read counting, quality control, setting default parameters, calling different containers and capturing exit codes."
"#workflow/github.com/sevenbridges-openworkflows/Broad-Best-Practice-Data-pre-processing-CWL1.0-workflow-GATK-4.1.0.0/GATK_4_1_0_0_data_pre_processing_workflow",master,false,6570,40,stop,"The BROAD Best Practice Data Pre-processing Workflow 4.1.0.0 prepares data for variant calling analysis, operating on individual samples, and includes alignment to reference genome and data cleanup operations."
"#workflow/github.com/DataBiosphere/analysis_pipeline_WDL/vcf-to-gds-wdl",v7.1.1,false,2624,29,stop,"The workflow processes VCF files into GDS files, assigns unique variant IDs and optionally checks the GDS files against the original VCF files."
"#workflow/github.com/broadinstitute/warp/Optimus",aa-PD2413,false,2461,41,stop,"The workflow processes 10x Genomics sequencing data, correcting cell barcodes and UMIs, aligning reads, marking duplicates, and returning data in BAM format and as counts in a sparse matrix format."
"#workflow/github.com/theiagen/terra_utilities/Concatenate_Column_Content",v1.4.1,false,166,21,stop,This workflow concatenates the content of columns from several files and stores the resultant file and versioning details.
"#workflow/github.com/gatk-workflows/seq-format-conversion/BAM-to-Unmapped-BAM",3.0.0,false,989,26,stop,The workflow converts BAM files into sorted and unmapped BAM files using Broad Institute's GATK software on the Google Cloud Platform.
"#notebook/github.com/denis-yuen/test-notebooks/ibm-tax-maps",0.2,true,8092,41,stop,"The notebook demonstrates how to create interactive maps of US state tax data in a Jupyter notebook without writing JavaScript or Python code, using the libraries folium, xlrd, seaborn, pandas, and matplotlib."
github.com/dockstore/dockstore-tool-bamstats/bamstats_sort_cwl,1.25-9,false,352,27,stop,"The command line tool demonstrates an alternative descriptor to Dockstore.cwl, using a Docker container for the sort command shared with bamstats."
